,job_title,location,category,type
0,CYBERSECURITY PRINCIPAL-ARCHITECT - IAM (Identity Access Management),"Austin, TX",Technology,Corporate/Other
1,CYBERSECURITY PRINCIPAL-ARCHITECT – Data Security,"Austin, TX",Technology,Corporate/Other
2,SR SOFTWARE ENGINEER - SAP Functional - Financial Group Reporting,"Atlanta, GA",Technology,Corporate/Other
3,SR SOFTWARE ENGINEER - SAP Functional Analyst (Group Reporting),"Atlanta, GA",Technology,Corporate/Other
0,Sr. Project/Process Analyst,"Atlanta, GA",Human Resources,Corporate/Other
1,Lead UX User Researcher,"Atlanta, GA",Services,Corporate/Other
2,Lead User Experience Architect - Online,"Atlanta, GA",E-Commerce,Corporate/Other
3,SR SOFTWARE ENGINEER - SAP P2P (Functional),"Atlanta, GA",Technology,Corporate/Other
4,SR PICK DEVELOPER,"Mount Laurel, NJ",Technology,Corporate/Other
5,CYBERSECURITY MANAGER – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
6,CYBERSECURITY MANAGER - IAM (Identity Access Management),"Austin, TX",Technology,Corporate/Other
7,CYBERSECURITY MANAGER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
8,CYBERSECURITY PRINCIPAL-ARCHITECT – Endpoint Security,"Austin, TX",Technology,Corporate/Other
9,CYBERSECURITY PRINCIPAL-ARCHITECT – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
0,"Systems Engineer Principal/Architect - Data Security – Crypto, PKI and Encryption","Austin, TX",Technology,Corporate/Other
1,Cybersecurity Senior Manager -  Identity & Access Management and PAM,"Austin, TX",Technology,Corporate/Other
2,Cybersecurity Senior Manager -  Identity & Access Management and PAM,"Austin, TX",Technology,Corporate/Other
3,HDQC Manager of Software Engineering - SRE,"Vancouver, WA",Technology,Corporate/Other
4,GC SOFTWARE ENGINEER,"Houston, TX",E-Commerce,Corporate/Other
5,SR SOFTWARE ENGINEER,"Atlanta, GA",Technology,Corporate/Other
6,QUALITY ASSURANCE ENGINEER,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
7,ENGINEER QUALITY ASSURANCE,"Atlanta, GA",Engineering,Corporate/Other
8,MANAGER DC ENGINEERING,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
9,The Home Depot PRO - UX User Researcher,"Jacksonville, FL",E-Commerce,Corporate/Other
0,SOFTWARE ENGINEER SR MANAGER,"Atlanta, GA",Technology,Corporate/Other
1,Software Engineer Senior Manager,"Austin, TX",Technology,Corporate/Other
2,Software Engineer Senior Manager,"Atlanta, GA",Technology,Corporate/Other
3,Systems Engineer Principal - Security,"Atlanta, GA",Technology,Corporate/Other
4,Systems Engineer Principal - Security,"Austin, TX",Technology,Corporate/Other
5,Systems Engineer Principal-Infrastructure,"Austin, TX",Technology,Corporate/Other
6,Systems Engineer Principal- Infrastructure,"Atlanta, GA",Technology,Corporate/Other
7,Staff Software Engineer - OrangeMethod Training,"Atlanta, GA",Technology,Corporate/Other
8,SR SOFTWARE ENGINEER - SAP ABAP/PI (Functional),"Austin, TX",Technology,Corporate/Other
9,SOFTWARE ENGINEER SR MANAGER - Home Services,"Atlanta, GA",Technology,Corporate/Other
0,CYBERSECURITY STAFF-LEAD ENGINEER - IAM (Identity Access Management),"Austin, TX",Technology,Corporate/Other
1,CYBERSECURITY SENIOR ENGINEER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
2,SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
3,Software Engineer Principal - Data Science,"Atlanta, GA",Technology,Corporate/Other
4,SR SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
5,Principal Engineer - Data Science,"Atlanta, GA",Technology,Corporate/Other
6,SR ENGINEER QUALITY ASSURANCE,"Atlanta, GA",Engineering,Corporate/Other
7,HDQC Software Engineer II - SRE,"Vancouver, WA",Technology,Corporate/Other
8,SOFTWARE ENGINEER MANAGER - Home Services,"Austin, TX",Technology,Corporate/Other
9,SR SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
0,STAFF SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
1,CYBERSECURITY SENIOR ENGINEER – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
2,CYBERSECURITY STAFF-LEAD ENGINEER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
3,MOBILE SOFTWARE ENGINEER MANAGER,"Austin, TX",Technology,Corporate/Other
4,LEAD PRODUCT ENGINEER,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
5,"Systems Engineer Senior Manager - Network Security, IR and Resiliency","Atlanta, GA",Technology,Corporate/Other
6,Software Engineer Manager- Reliability Engineering,"Atlanta, GA",Technology,Corporate/Other
7,SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
8,Software Engineer Manager-Reliability Engineering,"Austin, TX",Technology,Corporate/Other
9,CYBERSECURITY SENIOR ENGINEER - Data Security,"Austin, TX",Technology,Corporate/Other
0,Systems Engineer Senior Manager-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
1,Senior Software Engineer - ServiceNow Developer,"Austin, TX",Technology,Corporate/Other
2,Staff Software Engineer-Reliability Engineering,"Austin, TX",Technology,Corporate/Other
3,Senior Software Engineer- Reliability Engineering,"Atlanta, GA",Technology,Corporate/Other
4,Systems Engineer Senior Manager-Cybersecurity,"Austin, TX",Technology,Corporate/Other
5,Staff Software Engineer- Reliability Engineering,"Atlanta, GA",Technology,Corporate/Other
6,STAFF SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
7,CYBERSECURITY ENGINEER - Data Security,"Austin, TX",Technology,Corporate/Other
8,CYBERSECURITY STAFF-LEAD ENGINEER – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
9,SENIOR SYSTEM ENGINEER,"San Mateo, CA",Technology,Corporate/Other
0,Systems Engineer Senior Manager-Infrastructure,"Atlanta, GA",Technology,Corporate/Other
1,DC ENGINEER - MIRA LOMA,"Mira Loma, CA",Distribution/Transportation Facilities,Corporate/Other
2,DC ENGINEER - PHOENIX (RLC),"Phoenix, AZ",Distribution/Transportation Facilities,Corporate/Other
3,DC ENGINEER - INDIANAPOLIS (RLC),"Indianapolis, IN",Distribution/Transportation Facilities,Corporate/Other
4,CYBERSECURITY STAFF-LEAD ENGINEER – Data Security,"Austin, TX",Technology,Corporate/Other
5,Software Engineer Manager,"Austin, TX",Technology,Corporate/Other
6,DC ENGINEER - DALLAS (RDC),"Dallas, TX",Distribution/Transportation Facilities,Corporate/Other
7,DC ENGINEER - RANCHO CUCAMONGA,"Rancho Cucamonga, CA",Distribution/Transportation Facilities,Corporate/Other
8,Software Engineer Manager,"Atlanta, GA",Technology,Corporate/Other
9,CYBERSECURITY SENIOR ENGINEER - IAM(Identity Access Management),"Austin, TX",Technology,Corporate/Other
0,Systems Engineer Principal-Cybersecurity,"Austin, TX",Technology,Corporate/Other
1,"DC ENGINEER- Houston, TX 5831 MDC","Houston, TX",Distribution/Transportation Facilities,Corporate/Other
2,Systems Engineer Principal-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
3,Staff Systems Engineer - Cryptography,"Austin, TX",Technology,Corporate/Other
4,Systems Engineer Manager-Cybersecurity,"Austin, TX",Technology,Corporate/Other
5,Systems Engineer Manager-Cyersecurity,"Atlanta, GA",Technology,Corporate/Other
6,Staff Software Engineer - ITX,"Atlanta, GA",Technology,Corporate/Other
7,Systems Engineer Senior Manager - Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
8,Senior Software Engineer-Reliability Engineering,"Austin, TX",Technology,Corporate/Other
9,Systems Engineer Senior Manager-Infrastructure,"Austin, TX",Technology,Corporate/Other
0,Systems Engineer Manager - Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
1,Systems Engineer Manager - Cybersecurity,"Austin, TX",Technology,Corporate/Other
2,Systems Engineer Manager-Infrastructure,"Austin, TX",Technology,Corporate/Other
3,Systems Engineer Manager-Infrastructure,"Atlanta, GA",Technology,Corporate/Other
4,Staff Software Engineer,"Atlanta, GA",Technology,Corporate/Other
5,Senior Software Engineer,"Atlanta, GA",Technology,Corporate/Other
6,Staff Software Engineer,"Austin, TX",Technology,Corporate/Other
7,Staff Systems Engineer- Qualys,"Austin, TX",Technology,Corporate/Other
8,"DevOps Engineer, BlackLocus","Austin, TX",Merchandising,Corporate/Other
9,Staff Systems Engineer-Infrastructure,"Austin, TX",Technology,Corporate/Other
0,Senior Systems Engineer-Infrastructure,"Atlanta, GA",Technology,Corporate/Other
1,Systems Engineer-Cybersecurity,"Austin, TX",Technology,Corporate/Other
2,Systems Engineer-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
3,LEAD CLOUD ENGINEER,"Houston, TX",Technology,Corporate/Other
4,"Senior Software Engineer,  BlackLocus","Austin, TX",Merchandising,Corporate/Other
5,Staff Systems Engineer,"Atlanta, GA",Technology,Corporate/Other
6,SOFTWARE ENGINEER - ETL Developer,"Jacksonville, FL",Technology,Corporate/Other
7,Senior Software Engineer,"Austin, TX",Technology,Corporate/Other
8,Staff Systems Engineer-Cybersecurity,"Austin, TX",Technology,Corporate/Other
9,Staff Systems Engineer-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
0,Senior Systems Engineer - Armis,"Austin, TX",Technology,Corporate/Other
1,Systems Engineer-Infrastructure,"Austin, TX",Technology,Corporate/Other
2,Systems Engineer- Infrastructure,"Atlanta, GA",Technology,Corporate/Other
3,Software Engineer,"Atlanta, GA",Technology,Corporate/Other
4,Software Engineer Principal,"Austin, TX",Technology,Corporate/Other
5,Software Engineer Principal,"Atlanta, GA",Technology,Corporate/Other
6,Software Engineer,"Austin, TX",Technology,Corporate/Other
7,Senior Systems Engineer-Infrastructure,"Austin, TX",Technology,Corporate/Other
8,Senior Systems Engineer-Cybersecurity,"Austin, TX",Technology,Corporate/Other
9,Senior Systems Engineer-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
